epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1010.47,0.70756,3.23183,1.20738,0.27334,0.63218,0.42369,0.3574,0.53905,2.46928,1.09578,0.000206935,0.000206935,0.000206935
2,1998.82,0.66423,1.91969,1.13173,0.4581,0.69309,0.56195,0.4612,0.62,1.71755,1.15892,0.000411157,0.000411157,0.000411157
3,2991.17,0.67437,1.68174,1.1386,0.53862,0.70364,0.59359,0.47887,0.66595,1.58319,1.20081,0.000611254,0.000611254,0.000611254
4,3985.81,0.66163,1.57144,1.11577,0.52784,0.66019,0.58016,0.43845,0.76839,1.56828,1.31084,0.000606437,0.000606437,0.000606437
5,4981.11,0.65407,1.4868,1.10879,0.58036,0.64523,0.64873,0.529,0.622,1.26851,1.16728,0.00060025,0.00060025,0.00060025
6,5974.14,0.63787,1.41183,1.10293,0.63882,0.6849,0.67821,0.5651,0.55302,1.22695,1.06933,0.000594062,0.000594062,0.000594062
7,6965.48,0.6344,1.3632,1.09207,0.5845,0.74314,0.7096,0.5661,0.65353,1.19136,1.15226,0.000587875,0.000587875,0.000587875
8,7953.83,0.58343,1.23683,1.06565,0.56974,0.79056,0.77458,0.67927,0.51126,0.99265,1.02486,0.000581687,0.000581687,0.000581687
9,8939.02,0.58711,1.19796,1.07328,0.69113,0.78055,0.81595,0.72444,0.47811,0.77714,1.00368,0.0005755,0.0005755,0.0005755
10,9923.21,0.55348,1.17361,1.0482,0.79429,0.77238,0.86322,0.77201,0.46819,0.72317,1.00048,0.000569313,0.000569313,0.000569313
11,10907,0.55498,1.12529,1.05725,0.68635,0.8533,0.88482,0.79071,0.48205,0.72284,1.01496,0.000563125,0.000563125,0.000563125
12,11896.6,0.52692,1.08199,1.03829,0.73563,0.84978,0.87989,0.80455,0.42459,0.67289,0.96116,0.000556938,0.000556938,0.000556938
13,12882.4,0.52436,1.02709,1.02351,0.78969,0.80547,0.86868,0.78281,0.44431,0.68493,0.98408,0.00055075,0.00055075,0.00055075
14,13872,0.5306,1.00157,1.03236,0.81606,0.84992,0.89526,0.82347,0.42048,0.61945,0.95719,0.000544563,0.000544563,0.000544563
15,14863.7,0.50781,1.03038,1.02059,0.80831,0.84674,0.90632,0.84036,0.38713,0.65866,0.92281,0.000538375,0.000538375,0.000538375
16,15884.9,0.48795,0.93257,1.01041,0.90055,0.78731,0.89885,0.8322,0.4081,0.58268,0.94196,0.000532187,0.000532187,0.000532187
17,989.731,0.50143,0.94414,1.02006,0.83249,0.87068,0.91466,0.84282,0.40279,0.57494,0.94825,0.000526,0.000526,0.000526
18,1975.5,0.48165,0.88325,0.9957,0.82772,0.86567,0.91875,0.85394,0.39807,0.55056,0.9385,0.000519812,0.000519812,0.000519812
19,2961.9,0.46829,0.87531,1.00025,0.89169,0.83336,0.93165,0.86437,0.38822,0.56846,0.93111,0.000513625,0.000513625,0.000513625
20,3945.64,0.45277,0.83244,0.98629,0.8985,0.85326,0.93372,0.8597,0.39999,0.48736,0.9476,0.000507438,0.000507438,0.000507438
